Epoch, 1/20, train loss, 1.1140, train acc, 41.71%, test acc, 52.75%, eta, 23.66s
Epoch, 2/20, train loss, 0.9272, train acc, 54.69%, test acc, 61.32%, eta, 21.68s
Epoch, 3/20, train loss, 0.8276, train acc, 63.02%, test acc, 62.11%, eta, 17.17s
Epoch, 4/20, train loss, 0.7859, train acc, 65.11%, test acc, 64.61%, eta, 16.97s
Epoch, 5/20, train loss, 0.7390, train acc, 67.64%, test acc, 65.48%, eta, 17.06s
Epoch, 6/20, train loss, 0.7141, train acc, 69.01%, test acc, 64.45%, eta, 16.88s
Epoch, 7/20, train loss, 0.6805, train acc, 70.95%, test acc, 65.74%, eta, 17.23s
Epoch, 8/20, train loss, 0.6579, train acc, 71.90%, test acc, 65.39%, eta, 17.22s
Epoch, 9/20, train loss, 0.6184, train acc, 74.08%, test acc, 65.42%, eta, 17.24s
Epoch, 10/20, train loss, 0.5974, train acc, 75.42%, test acc, 65.74%, eta, 17.11s
Epoch, 11/20, train loss, 0.5810, train acc, 76.05%, test acc, 64.61%, eta, 17.10s
Epoch, 12/20, train loss, 0.5687, train acc, 76.53%, test acc, 63.06%, eta, 17.08s
Epoch, 13/20, train loss, 0.5471, train acc, 77.42%, test acc, 63.86%, eta, 17.19s
Epoch, 14/20, train loss, 0.5316, train acc, 78.01%, test acc, 64.56%, eta, 17.46s
Epoch, 15/20, train loss, 0.5151, train acc, 78.81%, test acc, 64.75%, eta, 17.11s
Epoch, 16/20, train loss, 0.4994, train acc, 79.58%, test acc, 64.14%, eta, 17.13s
Epoch, 17/20, train loss, 0.4862, train acc, 80.06%, test acc, 64.50%, eta, 17.19s
Epoch, 18/20, train loss, 0.4782, train acc, 80.54%, test acc, 64.22%, eta, 17.43s
Epoch, 19/20, train loss, 0.4686, train acc, 80.88%, test acc, 64.17%, eta, 17.80s
Epoch, 20/20, train loss, 0.4669, train acc, 80.97%, test acc, 64.05%, eta, 16.85s
